Date,Open,High,Low,Close,Adj Close,Volume
2016-12-12,4878.040039,4960.479980,4854.270020,4914.859863,4914.859863,11341080000
2016-12-19,4919.160156,4963.000000,4911.750000,4940.020020,4940.020020,7584620000
2016-12-26,4948.919922,4992.080078,4853.930176,4863.620117,4863.620117,5354300000
2017-01-02,4900.850098,5020.700195,4884.520020,5007.080078,5007.080078,7272940000
2017-01-09,5013.819824,5066.950195,4995.069824,5059.509766,5059.509766,9043580000
2017-01-16,5043.069824,5085.339844,5029.609863,5063.200195,5063.200195,6986380000
2017-01-23,5055.970215,5172.430176,5035.490234,5168.060059,5168.060059,8906500000
2017-01-30,5146.410156,5165.470215,5086.330078,5161.600098,5161.600098,9902970000
2017-02-06,5154.180176,5234.270020,5148.060059,5226.689941,5226.689941,9392290000
2017-02-13,5242.490234,5324.720215,5238.689941,5324.720215,5324.720215,9688010000
2017-02-20,5334.569824,5358.529785,5304.009766,5343.310059,5343.310059,7370390000
2017-02-27,5330.560059,5398.430176,5316.700195,5373.479980,5373.479980,10277730000
2017-03-06,5352.609863,5394.660156,5336.080078,5385.899902,5385.899902,9266400000
2017-03-13,5387.729980,5426.839844,5360.700195,5408.759766,5408.759766,10366310000
2017-03-20,5406.020020,5439.580078,5327.250000,5364.000000,5364.000000,9364880000
2017-03-27,5320.959961,5451.500000,5316.020020,5436.229980,5436.229980,8836870000
2017-04-03,5440.200195,5479.859863,5400.080078,5418.370117,5418.370117,9387480000
2017-04-10,5423.569824,5442.709961,5353.589844,5353.589844,5353.589844,6692550000
2017-04-17,5369.209961,5455.879883,5367.589844,5442.049805,5442.049805,8215100000
2017-04-24,5503.270020,5600.000000,5494.459961,5583.529785,5583.529785,9498070000
2017-05-01,5602.439941,5646.089844,5600.310059,5646.089844,5646.089844,10008930000
2017-05-08,5649.180176,5691.209961,5637.399902,5686.810059,5686.810059,9707070000
2017-05-15,5687.970215,5724.709961,5568.470215,5651.560059,5651.560059,10234640000
2017-05-22,5662.950195,5793.129883,5661.589844,5788.359863,5788.359863,8436870000
2017-05-29,5785.379883,5881.459961,5762.560059,5881.459961,5881.459961,7661490000
2017-06-05,5881.220215,5897.689941,5657.759766,5741.939941,5741.939941,10732610000
2017-06-12,5677.160156,5774.200195,5633.339844,5681.479980,5681.479980,11567860000
2017-06-19,5729.540039,5810.310059,5724.490234,5803.109863,5803.109863,11823390000
2017-06-26,5832.310059,5845.149902,5599.439941,5646.919922,5646.919922,10802440000
2017-07-03,5680.359863,5684.979980,5579.640137,5656.470215,5656.470215,6654370000
2017-07-10,5662.709961,5844.799805,5650.259766,5838.080078,5838.080078,8716060000
2017-07-17,5845.819824,5932.609863,5818.200195,5921.529785,5921.529785,8799320000
2017-07-24,5920.930176,5995.770020,5847.049805,5908.919922,5908.919922,9993120000
2017-07-31,5928.680176,5936.149902,5859.620117,5899.910156,5899.910156,9829040000
2017-08-07,5909.450195,5972.930176,5783.359863,5831.529785,5831.529785,9649530000
2017-08-14,5878.640137,5944.979980,5770.140137,5790.910156,5790.910156,9089160000
2017-08-21,5791.040039,5879.000000,5750.500000,5822.529785,5822.529785,7766670000
2017-08-28,5839.270020,6009.609863,5785.220215,5987.899902,5987.899902,8282150000
2017-09-04,5966.640137,5980.910156,5890.250000,5913.370117,5913.370117,7576920000
2017-09-11,5962.350098,6009.450195,5957.850098,5988.000000,5988.000000,10136760000
2017-09-18,5997.509766,6012.950195,5911.479980,5932.319824,5932.319824,9148560000
2017-09-25,5904.060059,5980.220215,5839.890137,5979.299805,5979.299805,9826840000
2017-10-02,5988.959961,6064.669922,5955.830078,6064.569824,6064.569824,9502930000
2017-10-09,6071.959961,6100.060059,6036.720215,6092.450195,6092.450195,8877000000
2017-10-16,6108.660156,6129.490234,6051.470215,6108.819824,6108.819824,8629420000
2017-10-23,6122.240234,6223.520020,6011.240234,6213.470215,6213.470215,10354490000
2017-10-30,6209.799805,6297.620117,6194.580078,6295.580078,6295.580078,10572340000
2017-11-06,6292.149902,6346.979980,6248.290039,6309.069824,6309.069824,10691880000
2017-11-13,6286.009766,6352.470215,6227.990234,6314.509766,6314.509766,9857290000
2017-11-20,6319.569824,6410.770020,6301.879883,6409.290039,6409.290039,6121150000
2017-11-27,6409.520020,6426.040039,6244.839844,6337.870117,6337.870117,10978820000
2017-12-04,6380.680176,6380.770020,6234.220215,6344.569824,6344.569824,10142120000
2017-12-11,6351.240234,6470.919922,6347.910156,6466.319824,6466.319824,11095710000
2017-12-18,6504.890137,6522.700195,6447.930176,6465.169922,6465.169922,9444840000
2017-12-25,6427.319824,6452.069824,6396.419922,6396.419922,6396.419922,5596930000
2018-01-01,6431.589844,6654.979980,6417.750000,6653.290039,6653.290039,8201500000
2018-01-08,6651.680176,6763.979980,6619.350098,6758.540039,6758.540039,22411010000
2018-01-15,6807.850098,6843.240234,6719.109863,6834.330078,6834.330078,8638700000
2018-01-22,6829.549805,7022.970215,6822.850098,7022.970215,7022.970215,10623380000
2018-01-29,7000.680176,7020.640137,6756.540039,6760.290039,6760.290039,11554350000
2018-02-05,6687.470215,6807.959961,6164.430176,6412.680176,6412.680176,14468560000
2018-02-12,6477.040039,6840.600098,6424.299805,6770.660156,6770.660156,10399080000
2018-02-19,6742.149902,6897.529785,6740.479980,6896.600098,6896.600098,7648540000
2018-02-26,6933.819824,7003.129883,6645.029785,6811.040039,6811.040039,11172700000
2018-03-05,6777.629883,7101.310059,6753.830078,7101.180176,7101.180176,10946190000
2018-03-12,7122.470215,7186.089844,7010.009766,7019.950195,7019.950195,11886280000
2018-03-19,6945.970215,6949.020020,6507.839844,6508.089844,6508.089844,11018080000
2018-03-26,6644.399902,6793.500000,6410.040039,6581.129883,6581.129883,9675220000
2018-04-02,6528.229980,6632.209961,6322.600098,6433.209961,6433.209961,11452510000
2018-04-09,6488.479980,6703.310059,6466.040039,6628.339844,6628.339844,9936540000
2018-04-16,6675.919922,6856.959961,6633.080078,6667.750000,6667.750000,9488140000
2018-04-23,6699.160156,6750.779785,6426.569824,6656.350098,6656.350098,10067980000
2018-04-30,6669.439941,6783.359863,6539.870117,6769.120117,6769.120117,10428300000
2018-05-07,6803.450195,6969.299805,6770.299805,6952.560059,6952.560059,10552780000
2018-05-14,6977.350098,7008.259766,6852.729980,6866.250000,6866.250000,10171780000
2018-05-21,6920.319824,6982.520020,6846.939941,6960.919922,6960.919922,9587950000
2018-05-28,6928.500000,7084.839844,6887.120117,7083.930176,7083.930176,8860030000
2018-06-04,7099.500000,7212.450195,7099.089844,7152.620117,7152.620117,10663030000
2018-06-11,7149.649902,7291.310059,7146.089844,7255.759766,7255.759766,11354490000
2018-06-18,7201.180176,7309.990234,7138.020020,7197.509766,7197.509766,12912270000
2018-06-25,7131.049805,7144.290039,6950.229980,7040.799805,7040.799805,11147570000
2018-07-02,6979.540039,7217.000000,6969.160156,7207.330078,7207.330078,6396830000
2018-07-09,7251.180176,7387.740234,7220.229980,7375.819824,7375.819824,8964210000
2018-07-16,7381.029785,7418.430176,7288.299805,7350.229980,7350.229980,8967820000
2018-07-23,7335.419922,7511.390137,7255.319824,7296.779785,7296.779785,9958170000
2018-07-30,7292.720215,7395.490234,7158.779785,7395.490234,7395.490234,10662010000
2018-08-06,7390.819824,7498.370117,7381.580078,7408.299805,7408.299805,10651740000
2018-08-13,7420.180176,7468.819824,7308.520020,7377.540039,7377.540039,9941250000
2018-08-20,7393.580078,7489.540039,7343.470215,7485.399902,7485.399902,8892550000
2018-08-27,7527.370117,7691.100098,7512.020020,7654.549805,7654.549805,10091790000
2018-09-03,7629.339844,7643.450195,7400.990234,7430.259766,7430.259766,9341360000
2018-09-10,7466.759766,7581.299805,7401.720215,7545.500000,7545.500000,11069340000
2018-09-17,7522.589844,7603.859863,7427.790039,7531.069824,7531.069824,12752830000
2018-09-24,7477.450195,7657.799805,7447.229980,7627.649902,7627.649902,11372960000
2018-10-01,7673.000000,7700.560059,7327.439941,7399.009766,7399.009766,13669380000
2018-10-08,7356.540039,7430.359863,6892.890137,7157.209961,7157.209961,13555590000
2018-10-15,7129.310059,7311.850098,7047.470215,7107.229980,7107.229980,12215040000
2018-10-22,7146.029785,7193.720215,6743.779785,6852.399902,6852.399902,13655360000
2018-10-29,6954.689941,7085.270020,6574.750000,6965.290039,6965.290039,13869380000
2018-11-05,6946.149902,7205.959961,6859.799805,7039.149902,7039.149902,12010600000
2018-11-12,6990.370117,6998.799805,6702.419922,6867.020020,6867.020020,12120210000
2018-11-19,6832.250000,6841.439941,6442.359863,6527.350098,6527.350098,7835970000
2018-11-26,6616.790039,6951.129883,6590.890137,6949.009766,6949.009766,10995080000
2018-12-03,7106.839844,7107.000000,6594.540039,6613.279785,6613.279785,10555860000
2018-12-10,6603.359863,6867.660156,6534.330078,6594.959961,6594.959961,11369950000
2018-12-17,6571.000000,6621.629883,6013.979980,6046.560059,6046.560059,15942800000
2018-12-24,5994.080078,6388.359863,5895.120117,6285.270020,6285.270020,8820170000
2018-12-31,6354.850098,6445.200195,6139.399902,6422.669922,6422.669922,9547200000
2019-01-07,6434.549805,6631.060059,6412.979980,6601.399902,6601.399902,11554010000
2019-01-14,6536.370117,6816.229980,6512.640137,6784.609863,6784.609863,10709960000
2019-01-21,6736.649902,6800.970215,6584.500000,6787.370117,6787.370117,9496500000
2019-01-28,6691.839844,6936.339844,6613.419922,6875.520020,6875.520020,12371360000
2019-02-04,6876.560059,7034.939941,6836.700195,6913.129883,6913.129883,10913460000
2019-02-11,6941.259766,7073.990234,6893.799805,7055.180176,7055.180176,10477050000
2019-02-18,7033.370117,7096.149902,7001.799805,7090.629883,7090.629883,8839310000
2019-02-25,7144.339844,7161.729980,7045.410156,7151.569824,7151.569824,12154480000
2019-03-04,7193.879883,7205.939941,6940.720215,7015.689941,7015.689941,11641280000
2019-03-11,7050.049805,7331.299805,7049.560059,7306.990234,7306.990234,12368400000
2019-03-18,7311.629883,7505.410156,7293.850098,7326.060059,7326.060059,12106360000
2019-03-25,7299.930176,7417.259766,7252.060059,7378.770020,7378.770020,10556310000
2019-04-01,7450.810059,7589.689941,7422.439941,7578.839844,7578.839844,11038290000
2019-04-08,7565.060059,7630.520020,7536.419922,7628.149902,7628.149902,10047170000
2019-04-15,7630.600098,7715.069824,7578.540039,7689.720215,7689.720215,8292300000
